country_code,country_name,year,value
USA,United States,1974,35.3
USA,United States,1979,34.5
USA,United States,1986,37.4
USA,United States,1991,38
USA,United States,1992,38.4
USA,United States,1993,40.4
USA,United States,1994,40
USA,United States,1995,39.9
USA,United States,1996,40.3
USA,United States,1997,40.5
USA,United States,1998,40
USA,United States,1999,40
USA,United States,2000,40.1
USA,United States,2001,40.6
USA,United States,2002,40.4
USA,United States,2003,40.8
USA,United States,2004,40.3
USA,United States,2005,41
USA,United States,2006,41.4
USA,United States,2007,40.8
USA,United States,2008,40.8
USA,United States,2009,40.6
USA,United States,2010,40
USA,United States,2011,40.9
USA,United States,2012,40.9
USA,United States,2013,40.7
USA,United States,2014,41.5
USA,United States,2015,41.2
USA,United States,2016,41.1
USA,United States,2017,41.2
USA,United States,2018,41.4
USA,United States,2019,41.5
